-50kb	-40kb	-30kb	-20kb	-10kb	boundary	10kb	20kb	30kb	40kb	50kb
0.220468223544	0.252232347639	0.290108272374	0.055591871055	-0.004919786893	-0.142963272476	-0.104067242382	-0.0609479228	-0.008418382739	-0.026004006935	-0.034744752156
-0.017732363516	0.199060024181	0.206518854488	0.153455794973	-0.346493873998	-0.417228682792	-0.375860288193	-0.233572479785	-0.078276099967	-0.033233058947	0.08758173993
0.162500113215	0.086026595597	0.030891655016	-0.058419414451	-0.19511229172	-0.288695410843	-0.267969834	-0.019837867156	0.348192924026	0.464289216559	0.410438062522
0.590120783423	0.375001167672	0.25171159881	0.256163854059	0.05636456385	-0.095834610383	0.037655616677	0.18123224409	0.089821778678	-0.09427391338	-0.211713983091
0.21657050578	0.412156506272	0.570142042907	0.425245213128	0.118292173935	-0.069876511923	-0.046981948558	0.002168942781	0.114117946134	0.162828083966	0.198135556674
0.194726640793	0.139304387066	0.044661585801	-0.217626431235	-0.385726280827	-0.465670942131	-0.265244865231	-0.120232867684	0.136618616044	0.232111868733	0.364638405009
0.250007220441	0.292356667704	0.152757927325	-0.043857315339	-0.287068073763	-0.380767301841	-0.166728820828	0.10479477004	0.293242368435	0.558215113918	0.666563969972
0.270187678749	0.255629731405	0.216888095618	0.119378002691	-0.001843044055	-0.173701140177	-0.123367970121	-0.049460187277	-0.047743871631	0.028233545723	0.053318604796
-0.091818239284	-0.134102951337	-0.1555554371	-0.281839447815	-0.460908027462	-0.605563781932	0.546821102557	0.675392554746	0.840561669149	-0.236903007252	-0.113735164973
0.553317380769	0.534779997691	0.379531649123	0.300260999405	0.158981916723	-0.030988959824	0.011594373795	0.139088473437	0.168037594879	0.247330290153	0.221542102145
-0.011484355019	-0.298117441471	0.820687206668	0.778514954169	0.743337628684	-0.381041094958	-0.173304330036	-0.05333572693	0.009396471717	-0.066964450445	-0.214764006528
0.139417408778	0.248500396786	0.189489520035	0.01193170885	-0.150628154497	-0.325010582433	-0.289376183938	0.39527742532	0.770722111064	0.770722111064	0.381551988512
-0.444217918751	-0.330782002794	-0.277425504227	-0.292268061482	-0.470763273308	-0.550680273083	-0.499198528241	-0.356232816406	-0.250680273936	-0.24965436806	-0.336340931128
-0.492422866419	-0.347203459697	-0.188520150836	-0.140851296984	-0.268960870716	-0.348020548708	-0.185019774219	-0.150685152836	-0.016317873656	-0.007098850589	-0.094720453774
0.120442598128	0.124471055059	0.076186069783	-0.040918457021	-0.209337274188	-0.25841104288	-0.158660259881	-0.062961709977	-0.08127410568	-0.079466364862	-0.067403089195
-0.007252121941	0.136197883621	0.251064148032	0.220734319826	0.066712246811	-0.134531706627	-0.114609881243	0.005962988135	0.083461641782	0.075066418462	-0.018334240475
0.175344631085	0.203160002408	0.316457886519	0.173583908929	-0.16620865272	-0.424807244932	-0.300923236207	-0.026742379243	-0.059553262263	-0.099343899811	-0.298747675112
0.118798749782	0.264732047805	0.276143788069	0.157024532572	-0.107527195129	-0.367098955254	-0.326875715065	-0.28572181462	-0.146472823654	0.000294846967	0.021479092899
0.373153823527	0.389160889919	0.154186663161	0.002769166203	-0.110821391449	-0.202673545206	-0.152200756092	-0.014385231589	0.152896333378	0.151260531855	0.044387524561
0.610973231474	0.590480231235	0.367886794376	0.507736340668	0.127361362779	-0.087191776515	-0.001321651719	0.048462632342	0.251102478956	0.291230976531	0.213633679015
-0.362027929353	-0.086736156768	-0.243583418071	-0.449234195451	-0.482367958339	-0.628104195175	-0.3430567512	-0.120675723991	0.148386797861	0.286779221627	0.427376364109
0.10478823842	0.064855431172	-0.030070862787	-0.164552752381	-0.258585840921	-0.302580409708	-0.124536288396	0.14428823111	0.284603105972	0.18537425082	0.006389223487
-0.124536288396	0.14428823111	0.284603105972	0.18537425082	0.006389223487	-0.181702922304	0.071230976587	0.28776763474	0.338490323014	0.487826197844	0.60510225634
-0.230211014976	-0.065893140457	0.020861600612	-0.046519474763	-0.205622120455	-0.413695335437	-0.275198872504	-0.044634655844	0.070164641852	0.136601374413	0.099902031377
-0.020225596624	-0.111511449835	-0.169260216225	-0.221127774258	-0.330928853269	-0.408493244679	-0.036257005925	0.038628253383	-0.112304983662	-0.238349409078	-0.131078672817
-0.140745838142	-0.171371924914	-0.10914350033	-0.126008343842	-0.152999542796	-0.537279014796	-0.532038685848	-0.451171340988	-0.328305405617	-0.297320146649	0.191381351984
-0.19329772633	-0.382798684971	-0.120645989522	0.077522192236	-0.349005498768	-0.470206886199	-0.409714882472	-0.237553702186	-0.094974399485	-0.044753473552	0.059995256012
-0.239858543529	-0.186695939516	0.315471680608	0.248029194565	0.076581408362	-0.542052727079	-0.380927570691	-0.263417889242	-0.047770966731	0.09697226451	0.196880608594
0.224064714819	0.178191817754	0.167748101388	0.072361626743	-0.010413068047	-0.185614518755	-0.113019298543	0.169826239921	0.296293647759	0.411493558616	0.453286527674
0.666523676785	0.290367207647	-0.129716884066	-0.203972636603	-0.314495086578	-0.368421682605	-0.223699121052	-0.023593375017	-0.063406001861	0.003989884375	-0.046533842144
0.263400760486	0.246148762487	-0.058929482747	-0.241573509733	-0.425098765155	-0.526053437605	-0.401318988351	-0.347369087478	-0.147203720942	-0.00373128183	0.15992255094
0.258573501159	0.32282894741	0.248487950937	-0.007332235966	-0.057004035874	-0.190482016153	-0.168368036813	-0.108955854011	-0.109282238232	-0.140665025787	-0.089534706899
-0.140665025787	-0.089534706899	-0.128254596388	-0.220748930943	-0.463013820423	-0.542490703123	-0.359969503714	-0.06720937683	-0.075023447301	0.141383533869	0.049853930473
0.141383533869	0.049853930473	0.325013019177	-0.42815577304	-0.315721278969	-0.599505523134	-0.39353783242	-0.050515772227	0.120623688627	0.088804470722	0.055515076029
-0.057365959829	-0.142320450792	-0.058435561543	-0.075978229609	-0.28172805665	-0.380074079856	-0.269313164077	-0.09512091915	0.039170307644	-0.063632401417	-0.190301212446
-0.380074079856	-0.269313164077	-0.09512091915	0.039170307644	-0.063632401417	-0.190301212446	-0.146337399856	0.02607726248	0.285653797858	0.502358394689	0.506405670545
0.309981892787	0.28778291986	0.480065466245	0.345032418673	0.025161434876	-0.278669788003	-0.230754403316	-0.154768826387	-0.062535616113	0.118735962263	0.192660378703
-0.205228282741	-0.292126680154	-0.383310443283	-0.39534405533	-0.587365805327	-0.594883595921	-0.391596293211	-0.225843182092	-0.072248732841	-5.476853e-05	-0.064589490473
0.30179076624	0.213562207908	0.249051211921	0.106563236748	-0.08265825782	-0.260295433493	-0.06761815688	0.034673379679	0.011708186466	0.127814802029	0.104438695633
0.011708186466	0.127814802029	0.104438695633	0.05775384228	-0.104486713353	-0.262144309432	-0.123764256519	-0.05705595975	-0.144400336468	-0.250597179121	-0.165694419506
0.508109184596	0.431657404209	0.270339735932	0.025748106674	-0.158388268086	-0.2322323102	-0.051138615767	0.148033719121	0.224819531998	0.082326829201	-0.036260821166
0.654590509389	0.814723777287	0.689638031327	0.471137372749	0.09925776841	-0.225691186042	-0.099361980783	0.630858887679	1.306065049317	1.79561482638	0.771563934065
0.541175604887	0.392720169607	0.202724202945	0.262696670058	0.129293046673	0.028655036191	0.145819338938	0.290529452092	0.29888260037	0.266887705063	0.228267327235
0.286685174555	0.444989047505	0.569674274812	0.414012519518	0.148712038121	0.038702979447	0.068463786042	0.147486451228	0.164408919257	0.175645480057	0.052808934501
0.146294023255	0.062768105884	-0.00852123617	-0.163444495827	-0.346681440732	-0.562645832717	-0.560338379484	-0.410400659606	-0.173898875318	0.147582502495	0.34599369426
0.519356235919	0.626916306927	0.633847263365	0.428349013885	0.069467469505	-0.146077078165	0.10006406187	0.494291611899	0.377085486065	0.184982748437	0.053774582054
-0.244392665172	-0.392437254455	-0.526715333535	-0.734821820861	-0.650155305087	-0.834398014	-0.609775538207	0.571076002114	1.188720165682	0.818077001223	0.15445699967
-0.064086661725	0.102623447793	0.034569823926	-0.202937639256	-0.574481787982	-0.741076525761	-0.669908467972	-0.526679848014	-0.347501352122	-0.241387387711	-0.18649578923
-0.307719188421	-0.177153846899	-0.109298144853	-0.126510631367	-0.325304286412	-0.496914830753	-0.401202924569	-0.295500731892	-0.178011727475	-0.135139935363	-0.351439544259
0.069988954712	-0.004310635092	-0.145944831199	-0.324765181869	-0.286484862009	-0.368722593052	-0.307258593048	-0.050586460014	0.112110938498	0.362023274165	0.359870034457
0.097482912471	0.256660676278	0.27426501171	0.103519529219	-0.23923557274	-0.422682941538	-0.256061836996	0.085702439075	0.304404583808	0.238125849878	0.062821153467
0.04077251897	0.050698448715	0.011005332712	-0.147896079272	-0.430443005751	-0.523082079583	-0.505808023228	-0.298729731515	0.020023020223	0.173764055453	0.667749803522
0.389431658537	0.402411219509	0.22400917171	-0.126131814024	-0.418192473678	-0.544724309965	-0.141724751337	0.224242096356	0.449615728792	0.238274391529	0.090198412393
-0.141724751337	0.224242096356	0.449615728792	0.238274391529	0.090198412393	0.022749953856	0.203423640932	0.254286828515	0.379139067202	0.642127903113	0.905650012567
0.051941789154	0.186064478257	0.076810403366	-0.113181270925	-0.397036790919	-0.413389944681	-0.123829249649	0.133513646185	0.332806591735	0.273509197814	0.154609948594
-0.210009910382	-0.009309870681	-0.059650037908	-0.29596355572	-0.291597374448	-0.439519137785	-0.205583975705	0.093327691814	0.401371847639	0.294530531789	0.150892761004
-0.23353533329	-0.329227261583	-0.378246049803	-0.54166538938	-0.663987985047	-0.824064146553	-0.791968470474	-0.632728374209	-0.706429735872	-0.577711229032	-0.534757726382
0.416090208977	0.46361999546	0.379511187766	0.246349310728	-0.016820654404	-0.248089708093	-0.139026990663	0.01946249325	-0.020190000378	-0.165171613697	-0.116145640223
-0.022869903092	-0.030724058876	0.042846840643	-0.013804025743	-0.225103902876	-0.413466730757	-0.276702354497	-0.114725042192	0.020087238548	-0.021460236294	-0.119231736712
0.42992779751	0.325913255376	-0.039995014245	-0.28688420668	-0.558468071668	-0.717112859281	-0.657358222384	-0.45585890988	-0.253870631736	0.056947412329	0.257143588969
0.27647165188	0.111774334789	-0.100580481241	-0.070884402531	-0.156235435426	-0.162724563701	-0.080946119774	0.058030265758	0.087500184901	-0.02603255394	-0.034688207452
-0.758555503146	-1.062289928318	-1.124804523497	-1.047531861511	-1.072139206173	-1.174729828679	-0.86628576414	-0.536011583265	-0.25373416688	-0.567263539189	-0.619660487045
0.04439748374	-0.104667309847	-0.086458309285	-0.040623493337	-0.149476894175	-0.551561151896	-0.472972590361	-0.246641470772	-0.08367623835	-0.01980535529	-0.130008216582
-0.556247131978	-0.392115480672	-0.364178712963	-0.561230872128	-0.709758207455	-0.859128982299	-0.445596543022	-0.371324368341	-0.197905899726	-0.08563641653	-0.145910053859
-0.062554971752	0.048804722511	-0.032216328099	-0.139411705506	-0.47344423029	-0.561605732439	-0.349502438699	-0.104126542855	0.22557647774	-0.055664904641	-0.128713874733
-0.149414612623	0.015490761941	-0.082576513321	-0.277212828289	-0.58730651806	-0.78407223918	-0.535418731949	-0.266273591472	-0.198880406914	-0.256099788663	-0.35029427153
0.158569764786	0.176760068353	-0.012692508503	-0.336651276184	-0.531895818431	-0.678315157332	-0.451806268485	-0.157364648625	0.153244162191	0.296201360662	0.191448684779
-0.363086656697	-0.134707628435	-0.091166954845	-0.349574150862	-0.600418375094	-0.683702681624	-0.404123558886	-0.116630521766	0.001064248829	0.125168771966	0.13783743727
-0.275833247499	-0.282612191138	-0.222157770105	-0.233359640702	-0.440943531868	-0.618056517215	-0.343317790794	-0.075510408249	-0.095649584119	-0.094429219984	0.040682829285
0.34215224181	0.449926954277	0.55097981234	0.438578561323	0.108988380729	-0.07879898229	0.103215729097	0.422101931279	0.474760918372	0.298726911698	0.145901125337
0.189490822255	0.192330117871	0.224363045382	-0.005326981401	-0.367324333811	-0.703204656143	-0.664838046205	-0.370008289981	0.076026430256	0.178378895169	0.232916570799
0.404803818465	0.366233620627	0.471630590559	0.398206281467	0.009096312968	-0.16054993676	-0.021596603912	0.18981120581	0.120112998759	0.110964043694	0.194833530742
0.126843502723	0.011312035054	0.045265472922	-0.101737456873	-0.171927149852	-0.433841486102	-0.370912692147	-0.066594863675	0.100580796556	0.20465751531	0.033959742829
0.056945403999	0.157480205948	0.109652799786	0.047917178671	-0.115187824486	-0.235200922711	-0.102209337265	0.068846053703	0.088629212557	0.369107573876	0.404108096004
0.404108096004	-0.178627118155	-0.314979753274	-0.350437012962	-0.424692545009	-0.721191783084	-0.472208144584	-0.159275997355	0.03643408303	0.262636961902	0.398964804153
-0.101681710189	0.135409824945	0.248430036555	0.073959142555	-0.224459111901	-0.429298684245	-0.293647469177	-0.107096633108	0.205880828607	0.271090300088	0.235799779363
0.205880828607	0.271090300088	0.235799779363	-0.006677395712	-0.337084431099	-0.43252023981	-0.266168696487	-0.005973521085	0.099591368255	-0.078416936576	-0.349086579747
0.04674061341	-0.036627431187	-0.152412426689	-0.380090044132	-0.359885333679	-0.465658973106	-0.391927038675	0.031373115867	0.514353394324	0.623003090816	0.401699832078
0.000530708239	0.040675947061	-0.040039530568	-0.267609719232	-0.417717467314	-0.623895965374	-0.23434922758	-0.189236025048	-0.486911040228	-0.493810833325	-0.628430347338
-0.424841868203	-0.529494823496	-0.602803705543	-0.517301270576	-0.630784649448	-0.68901166765	-0.572195473828	-0.434634778453	-0.14966940764	0.186559264033	0.329568290425
0.088275629829	0.060824584249	-0.005190926478	-0.098286699263	-0.320122082307	-0.463995633403	-0.425994098611	-0.365786715384	-0.21468042811	0.330110773894	0.513959629157
0.335471716588	0.363716173264	0.368452497129	0.458816979568	-0.112781812434	-0.329927089152	-0.198173026769	-0.064318516713	0.159476505293	0.177539019329	0.023933309994
-0.080586432242	-0.08775779788	-0.061715445291	0.061578172495	-0.138968779085	-0.232429479224	-0.209636369372	-2.6778074e-05	0.092568002358	0.175483671889	0.179302586118
-0.081989524733	-0.052935943156	-0.294332962617	-0.522748617162	-0.572549132886	-0.621918879997	0.311590610994	0.141574395043	0.194255096644	-0.334569924115	-0.632450747831
0.226773035774	0.231111470058	0.055124066322	-0.319239090848	-0.547800309505	-0.726061551479	-0.667978244266	-0.36577570735	-0.298576997648	0.018179378226	0.003488174736
0.141054854593	0.013673508457	0.034944916837	0.034036158663	-0.053594477085	-0.210891133937	-0.000649212677	0.260823943348	0.461211704482	0.500194330038	0.233946936877
